LineID,AE001,AE002,AE003,AE004,AE005,AE006,AE007,AE008,AE009,AE010,AE011,AE012,AE013,AE014,AE015,AE016,AE017,AE018,AE019,AE020,AE021,AE022,AE023,AE024
AE001,1.00000000,-0.43570366,-0.72440131,-0.72747433,0.52173847,-0.36031409,0.31930233,0.25626953,0.29051630,-0.07312084,0.57346135,0.44822300,0.19358660,-0.11171598,0.23728837,-0.15717261,0.47857217,-0.03044648,0.56178856,0.38149300,0.14280437,-0.09763334,0.27093535,0.42812836
AE002,-0.43570366,1.00000000,0.53146143,0.31915909,-0.38559909,0.40641097,0.03782715,0.38956575,-0.17248192,0.44113846,-0.76887497,-0.00574943,0.36537306,0.60863862,-0.17901566,0.08050750,-0.13029459,-0.47227595,0.10922601,0.05534973,0.05804166,-0.40634396,0.29576217,-0.05132664
AE003,-0.72440131,0.53146143,1.00000000,0.41916308,-0.25742511,0.23925717,-0.14025894,0.01949272,-0.25454030,0.00642060,-0.49999181,-0.18266749,-0.27185392,0.03792843,-0.12520987,0.02619563,-0.28293546,0.06787613,-0.52976237,-0.34932609,-0.29263606,-0.28728029,0.15416985,-0.60905662
AE004,-0.72747433,0.31915909,0.41916308,1.00000000,-0.65224672,0.27107427,-0.40695035,-0.42403684,-0.29613854,0.19694624,-0.58076808,-0.55799456,0.09601252,0.22998839,-0.43192180,0.35739762,-0.36925440,-0.03463405,-0.30852573,-0.30341714,0.06391134,0.37996072,-0.57942730,-0.08681290
AE005,0.52173847,-0.38559909,-0.25742511,-0.65224672,1.00000000,-0.27453534,-0.14137499,-0.04474599,-0.23664180,0.03867873,0.65163622,0.72693172,-0.32235642,-0.58849737,0.03590551,-0.55854967,0.37730567,0.00947202,0.16971265,-0.26850433,-0.55764568,-0.05341073,0.47944701,0.10476892
AE006,-0.36031409,0.40641097,0.23925717,0.27107427,-0.27453534,1.00000000,-0.16088298,0.10632331,-0.14520814,0.38216479,-0.36452435,0.00295241,-0.09450014,0.32570019,0.21446613,-0.42010830,-0.71808187,-0.58737123,-0.16362589,-0.03198801,-0.04816991,0.10536299,0.04613590,0.10637355
AE007,0.31930233,0.03782715,-0.14025894,-0.40695035,-0.14137499,-0.16088298,1.00000000,0.70690156,0.78831647,-0.49340804,0.00516872,-0.18552359,0.18720737,0.35407043,0.60483752,0.28224622,0.10621335,0.21870622,0.10260692,0.76905198,0.60013326,-0.61520266,0.27527029,-0.22181964
AE008,0.25626953,0.38956575,0.01949272,-0.42403684,-0.04474599,0.10632331,0.70690156,1.00000000,0.50995704,-0.09176920,-0.20099842,0.13284355,0.28330269,0.50142298,0.48927992,0.01238265,0.07721811,-0.19368937,0.26532096,0.64912586,0.38365816,-0.74428482,0.58401251,-0.08339773
AE009,0.29051630,-0.17248192,-0.25454030,-0.29613854,-0.23664180,-0.14520814,0.78831647,0.50995704,1.00000000,-0.61068287,0.10759301,-0.37314211,0.09427966,0.26889032,0.64968411,0.33339574,-0.03737000,0.33320049,-0.02090760,0.75628671,0.67878214,-0.36655406,-0.00185561,-0.20151424
AE010,-0.07312084,0.44113846,0.00642060,0.19694624,0.03867873,0.38216479,-0.49340804,-0.09176920,-0.61068287,1.00000000,-0.34570067,0.41627347,0.37940287,0.27329880,-0.49427571,-0.28787816,0.01596050,-0.75315289,0.45586253,-0.28241231,-0.26819478,0.20233019,0.12001463,0.57715149
AE011,0.57346135,-0.76887497,-0.49999181,-0.58076808,0.65163622,-0.36452435,0.00516872,-0.20099842,0.10759301,-0.34570067,1.00000000,0.32947594,-0.42691981,-0.66158452,0.26385493,-0.34092744,0.21082121,0.33129097,-0.01798237,-0.07393570,-0.24332070,0.19544038,0.06120229,0.05251112
AE012,0.44822300,-0.00574943,-0.18266749,-0.55799456,0.72693172,0.00295241,-0.18552359,0.13284355,-0.37314211,0.41627347,0.32947594,1.00000000,-0.04729069,-0.24842617,-0.07054025,-0.62969348,0.31813123,-0.40612724,0.40074239,-0.21410917,-0.52300616,-0.14058484,0.62122346,0.32249244
AE013,0.19358660,0.36537306,-0.27185392,0.09601252,-0.32235642,-0.09450014,0.18720737,0.28330269,0.09427966,0.37940287,-0.42691981,-0.04729069,1.00000000,0.65942381,-0.30602457,0.44324471,0.36861496,-0.35750368,0.69129442,0.41705519,0.50082005,-0.11506605,-0.05315110,0.51849416
AE014,-0.11171598,0.60863862,0.03792843,0.22998839,-0.58849737,0.32570019,0.35407043,0.50142298,0.26889032,0.27329880,-0.66158452,-0.24842617,0.65942381,1.00000000,0.04110590,0.34049439,-0.10971004,-0.43253832,0.35893684,0.53898054,0.59566352,-0.28348864,0.01673122,0.23644233
AE015,0.23728837,-0.17901566,-0.12520987,-0.43192180,0.03590551,0.21446613,0.60483752,0.48927992,0.64968411,-0.49427571,0.26385493,-0.07054025,-0.30602457,0.04110590,1.00000000,-0.21754753,-0.35499877,0.12600502,-0.23006294,0.51807329,0.29258845,-0.33198258,0.24736678,-0.26574616
AE016,-0.15717261,0.08050750,0.02619563,0.35739762,-0.55854967,-0.42010830,0.28224622,0.01238265,0.33339574,-0.28787816,-0.34092744,-0.62969348,0.44324471,0.34049439,-0.21754753,1.00000000,0.26500287,0.40015519,0.05175751,0.31076040,0.57335980,-0.07558070,-0.43128771,-0.13075124
AE017,0.47857217,-0.13029459,-0.28293546,-0.36925440,0.37730567,-0.71808187,0.10621335,0.07721811,-0.03737000,0.01596050,0.21082121,0.31813123,0.36861496,-0.10971004,-0.35499877,0.26500287,1.00000000,0.18093411,0.52143257,0.05468221,-0.02004739,-0.22315121,0.21899054,0.18578148
AE018,-0.03044648,-0.47227595,0.06787613,-0.03463405,0.00947202,-0.58737123,0.21870622,-0.19368937,0.33320049,-0.75315289,0.33129097,-0.40612724,-0.35750368,-0.43253832,0.12600502,0.40015519,0.18093411,1.00000000,-0.44993858,-0.00717451,0.08081945,-0.04608657,-0.25035356,-0.56550311
AE019,0.56178856,0.10922601,-0.52976237,-0.30852573,0.16971265,-0.16362589,0.10260692,0.26532096,-0.02090760,0.45586253,-0.01798237,0.40074239,0.69129442,0.35893684,-0.23006294,0.05175751,0.52143257,-0.44993858,1.00000000,0.31448280,0.22076400,-0.07563538,0.19932195,0.69769292
AE020,0.38149300,0.05534973,-0.34932609,-0.30341714,-0.26850433,-0.03198801,0.76905198,0.64912586,0.75628671,-0.28241231,-0.07393570,-0.21410917,0.41705519,0.53898054,0.51807329,0.31076040,0.05468221,-0.00717451,0.31448280,1.00000000,0.74882782,-0.40772427,0.10292345,0.10111063
AE021,0.14280437,0.05804166,-0.29263606,0.06391134,-0.55764568,-0.04816991,0.60013326,0.38365816,0.67878214,-0.26819478,-0.24332070,-0.52300616,0.50082005,0.59566352,0.29258845,0.57335980,-0.02004739,0.08081945,0.22076400,0.74882782,1.00000000,-0.15398266,-0.27343579,0.11330835
