LineID,AE001,AE002,AE003,AE004,AE005,AE006,AE007,AE008,AE009,AE010,AE011,AE012,AE013,AE014,AE015,AE016,AE017,AE018,AE019,AE020,AE021,AE022,AE023,AE024
AE001,1.00000000,-0.54088834,-0.22471563,-0.44919364,-0.69937004,0.58352004,0.16304346,0.17136615,0.06919967,-0.44594329,0.33832666,0.05686622,0.55932209,0.41541559,-0.38011472,0.05816250,0.07152778,0.75577561,0.05316104,0.02528613,0.28196284,-0.11068172,0.16765362,0.20016717
AE002,-0.54088834,1.00000000,0.13286133,-0.06235995,0.29198805,-0.20195118,-0.41638707,0.03103926,0.14805031,0.73135945,-0.68699793,-0.36037445,-0.61418958,0.04173297,-0.31198582,-0.62802888,0.35479032,-0.27538037,-0.27267739,0.16015849,-0.00375807,-0.24731086,-0.39328697,0.39349700
AE003,-0.22471563,0.13286133,1.00000000,0.24917652,0.24920463,-0.61143547,-0.40345581,0.64357329,0.10576038,-0.09508389,0.30487541,0.41395314,-0.45361382,-0.24551043,0.18046989,-0.21256039,-0.47559772,-0.13851232,0.11775675,0.02486192,-0.76676904,0.37444398,-0.75132080,-0.17577092
AE004,-0.44919364,-0.06235995,0.24917652,1.00000000,0.43869965,-0.40599144,-0.27844297,-0.02152774,0.20409485,-0.00011729,0.11460337,-0.02458767,-0.34159299,-0.78503407,0.63497296,0.20397183,-0.38147807,-0.35370225,0.24764101,-0.65491705,-0.55933945,0.70237693,-0.03691018,-0.76719963
AE005,-0.69937004,0.29198805,0.24920463,0.43869965,1.00000000,-0.42390665,0.13110557,0.05052334,-0.44533273,0.02977242,-0.21233135,0.32142040,-0.55855073,-0.23684865,0.59686404,0.23194860,-0.45848015,-0.71221278,0.41393318,0.02896602,-0.29488254,0.01852129,-0.14499624,-0.36056663
AE006,0.58352004,-0.20195118,-0.61143547,-0.40599144,-0.42390665,1.00000000,0.23771093,-0.08485669,-0.08071623,-0.13489927,-0.25378793,-0.24190743,0.30733125,0.49350515,-0.39257639,-0.00314529,0.26860771,0.58775686,0.18149138,-0.05443686,0.61582040,-0.38634857,0.38913675,0.25672549
AE007,0.16304346,-0.41638707,-0.40345581,-0.27844297,0.13110557,0.23771093,1.00000000,-0.29880758,-0.72230867,-0.49254155,0.18488680,0.43799929,0.46100717,0.39797024,0.27821071,0.68157236,-0.19953228,-0.19498391,0.28197292,0.42309180,0.45923052,-0.45429164,0.54349723,0.00416105
AE008,0.17136615,0.03103926,0.64357329,-0.02152774,0.05052334,-0.08485669,-0.29880758,1.00000000,-0.01770134,-0.27632841,0.15738801,0.41845890,-0.41042555,0.14254885,-0.06227338,-0.27202324,-0.47714074,0.28638480,0.40489641,0.02707488,-0.50941516,0.12004164,-0.71197221,-0.01750251
AE009,0.06919967,0.14805031,0.10576038,0.20409485,-0.44533273,-0.08071623,-0.72230867,-0.01770134,1.00000000,0.43797454,-0.02037600,-0.60475257,-0.04076068,-0.42709875,-0.34600988,-0.52686609,0.41672473,0.34075222,-0.49884940,-0.49364874,-0.23042091,0.49519721,-0.18656899,0.00121609
AE010,-0.44594329,0.73135945,-0.09508389,-0.00011729,0.02977242,-0.13489927,-0.49254155,-0.27632841,0.43797454,1.00000000,-0.62740562,-0.66832145,-0.35461447,-0.14239450,-0.38849511,-0.61917665,0.62602205,-0.17118364,-0.55206128,-0.04683343,0.11579608,-0.08461474,-0.13364151,0.35355976
