LineID,L001,L002,L003,L004,L005,L006,L007,L008,L009,L010,L011,L012,L013,L014,L015,L016,L017,L018,L019,L020,L021,L022,L023,L024,L025,L026,L027,L028,L029,L030
L001,1.00000000,0.17710683,0.23596688,0.28193805,-0.11265280,-0.28523894,-0.49308892,0.70525554,0.60359715,-0.47257075,0.31647562,0.42835409,0.18867741,0.19241324,-0.01306926,-0.20610280,-0.09715244,-0.45105531,-0.52758421,-0.26958434,0.47778761,0.24582416,0.58873464,0.71662632,-0.51565197,0.37934002,-0.14718540,0.53074118,-0.23000950,0.20767626
L002,0.17710683,1.00000000,-0.07256033,-0.38025881,0.38424715,-0.17775583,-0.44182213,0.47330421,0.03384971,0.22466059,-0.34750608,-0.15611189,-0.01804127,0.66182802,-0.43634825,-0.21045455,-0.10588167,-0.28677103,-0.54248589,-0.12819673,0.40305271,0.48503539,0.05810616,0.22873700,-0.48805016,-0.39993206,-0.17640005,0.28478838,0.03450929,-0.21993670
L003,0.23596688,-0.07256033,1.00000000,0.10888052,-0.02303733,-0.42068390,0.20066881,0.17159620,0.43951375,-0.19314295,0.50410047,-0.32765313,-0.43579347,-0.51600081,0.24548483,0.66022476,-0.60740706,-0.74176821,0.33542915,0.52726503,-0.46473592,-0.11876189,0.67898985,-0.04125481,0.34446877,0.72006872,-0.48030970,0.29425595,-0.28529339,-0.02690169
L004,0.28193805,-0.38025881,0.10888052,1.00000000,-0.77301631,-0.08941012,0.39832204,-0.20583219,-0.04379101,-0.81034563,0.63009031,0.08157094,0.61301200,-0.17928769,0.67999994,-0.21505494,0.46598332,0.07572966,0.12309707,-0.47232484,-0.17126261,-0.66949481,0.08291623,-0.08739798,-0.10611528,0.29274355,-0.46762261,0.34709236,-0.43503409,0.17212775
L005,-0.11265280,0.38424715,-0.02303733,-0.77301631,1.00000000,0.27630700,-0.51322783,0.32918058,0.31763575,0.65732580,-0.67019248,0.12893912,-0.56440702,0.11873044,-0.79332661,0.12627404,-0.55494175,-0.21038773,-0.27006674,0.43290996,0.22643662,0.70168035,-0.03480170,0.19046603,0.13811258,-0.19968931,0.40530717,-0.42465817,0.62040313,0.15809163
L006,-0.28523894,-0.17775583,-0.42068390,-0.08941012,0.27630700,1.00000000,-0.07827363,-0.26388004,0.03919340,0.09871790,-0.55950047,0.45392520,0.16180165,-0.06070879,-0.39156608,-0.38178554,0.15046373,0.41541063,-0.13771891,-0.14221464,0.07835408,0.01118815,-0.60966224,-0.15333178,0.26664412,-0.35570154,0.33478844,-0.73205011,0.74867784,0.65363189
L007,-0.49308892,-0.44182213,0.20066881,0.39832204,-0.51322783,-0.07827363,1.00000000,-0.73346885,-0.48475869,-0.21259771,0.41718470,-0.54537843,0.09426580,-0.47397227,0.66035168,0.32602614,0.21180579,0.17960535,0.73690427,0.11324292,-0.75433189,-0.76892484,-0.18222814,-0.74653625,0.48696023,0.14208625,-0.41402417,-0.03471514,-0.32254247,-0.20402717
L008,0.70525554,0.47330421,0.17159620,-0.20583219,0.32918058,-0.26388004,-0.73346885,1.00000000,0.61158454,-0.01872562,-0.04980148,0.34698665,-0.13479864,0.35933532,-0.40796314,-0.10983830,-0.34810402,-0.51826887,-0.63842615,-0.03327258,0.59738956,0.63862133,0.54397440,0.76800534,-0.50799559,0.17442708,0.06765524,0.38205215,-0.00641116,0.07831323
L009,0.60359715,0.03384971,0.43951375,-0.04379101,0.31763575,0.03919340,-0.48475869,0.61158454,1.00000000,-0.16474441,0.05115668,0.45439226,-0.26624121,-0.19830082,-0.31712287,0.11776967,-0.55179318,-0.59532413,-0.32476692,0.21787906,0.22102479,0.38182689,0.55140167,0.55415606,0.01081518,0.51341070,0.02365138,0.04130142,0.23094890,0.50288672
L010,-0.47257075,0.22466059,-0.19314295,-0.81034563,0.65732580,0.09871790,-0.21259771,-0.01872562,-0.16474441,1.00000000,-0.59329638,-0.17622809,-0.58796811,0.10190117,-0.54448392,0.25480376,-0.34536086,0.10914043,0.06359714,0.48014526,0.04244030,0.51808011,-0.21479815,-0.08357458,0.20431089,-0.34050300,0.51691017,-0.41690470,0.37858661,-0.27539926
L011,0.31647562,-0.34750608,0.50410047,0.63009031,-0.67019248,-0.55950047,0.41718470,-0.04980148,0.05115668,-0.59329638,1.00000000,-0.23566232,0.14460615,-0.35721854,0.74788699,0.29992579,0.05396677,-0.28328705,0.35962026,-0.02022998,-0.34714805,-0.51927550,0.51902974,-0.03151693,0.00626808,0.62361602,-0.49786306,0.57701107,-0.71395272,-0.20856676
L012,0.42835409,-0.15611189,-0.32765313,0.08157094,0.12893912,0.45392520,-0.54537843,0.34698665,0.45439226,-0.17622809,-0.23566232,1.00000000,0.24988571,0.11565844,-0.34941338,-0.50314105,0.11401783,0.17080964,-0.52591813,-0.33577846,0.57475046,0.29995221,-0.06171772,0.57506172,-0.24504105,-0.00808609,0.46129644,-0.23008482,0.41928515,0.61914321
L013,0.18867741,-0.01804127,-0.43579347,0.61301200,-0.56440702,0.16180165,0.09426580,-0.13479864,-0.26624121,-0.58796811,0.14460615,0.24988571,1.00000000,0.36360438,0.31747512,-0.69792081,0.76536675,0.41447593,-0.29383608,-0.81901454,0.25873583,-0.39558588,-0.33200036,0.01565462,-0.46036125,-0.30347836,-0.22354108,0.21432078,-0.17786856,0.16456070
L014,0.19241324,0.66182802,-0.51600081,-0.17928769,0.11873044,-0.06070879,-0.47397227,0.35933532,-0.19830082,0.10190117,-0.35721854,0.11565844,0.36360438,1.00000000,-0.32121921,-0.59477593,0.36298332,0.17554833,-0.66187579,-0.53266448,0.65798338,0.38680619,-0.20446002,0.33569405,-0.73932976,-0.61575648,0.07693938,0.26990825,-0.01788210,-0.21531542
