LineID,L001,L002,L003,L004,L005,L006,L007,L008,L009,L010,L011,L012,L013,L014,L015,L016,L017,L018,L019,L020,L021,L022,L023,L024,L025,L026,L027,L028,L029,L030
L001,1.00000000,0.10107122,0.01672073,0.64544820,-0.66388378,0.54364591,0.28440957,-0.20483301,-0.18543589,-0.29244824,0.50044183,-0.26615902,-0.15861100,0.51190236,-0.26909358,-0.24870232,0.28791462,-0.24000047,0.09280997,0.21594179,-0.14537160,-0.57387910,-0.62310467,0.04839548,0.53794772,0.42099313,0.39952531,-0.54378287,0.49448037,-0.59420163
L002,0.10107122,1.00000000,-0.52375710,0.35100142,-0.52823078,0.46101957,0.41758562,0.07401147,-0.08818935,-0.26362656,0.05655395,0.35066551,-0.27812727,-0.11073591,0.22669076,0.23366894,0.21703895,-0.18091830,-0.12469858,0.78547161,-0.82793026,0.30597612,-0.44005612,0.32342303,-0.43832019,-0.10531620,-0.00580065,-0.11228607,0.31658831,-0.29610844
L003,0.01672073,-0.52375710,1.00000000,-0.11513161,0.07019087,-0.31849600,-0.70270771,-0.52499226,-0.41990120,0.54675051,0.32070594,0.26795877,0.77673535,0.34694863,-0.28464808,-0.62298140,-0.00779903,0.42424763,-0.28684646,-0.35970632,0.57324027,-0.33295478,0.34544750,-0.45667670,0.54760038,0.23795574,0.48462277,0.42016695,-0.20500457,-0.06642690
L004,0.64544820,0.35100142,-0.11513161,1.00000000,-0.62601836,0.75567569,0.09902524,-0.39035081,-0.10146229,-0.52380970,0.19643664,-0.01328941,-0.10963904,0.13176265,-0.43107119,0.14110754,0.26035458,-0.53612045,0.18004839,0.38300058,-0.30209093,-0.45645748,-0.35129893,0.37234407,0.42094289,0.49090087,0.05803985,-0.59656504,0.43263207,-0.26158517
L005,-0.66388378,-0.52823078,0.07019087,-0.62601836,1.00000000,-0.60280706,-0.27540315,0.28568763,0.31686765,0.18307065,-0.49943175,-0.16392253,0.03565291,-0.47257507,0.01805938,0.27291749,-0.44033096,0.12114477,0.11435287,-0.65003952,0.54403886,0.21806494,0.67433977,-0.12298487,-0.19798648,-0.32034899,-0.48349454,0.24793773,-0.44587128,0.69758992
L006,0.54364591,0.46101957,-0.31849600,0.75567569,-0.60280706,1.00000000,0.24574217,-0.35233110,0.21303903,-0.68896537,-0.06005757,-0.15318230,-0.29098622,0.19293152,-0.08486477,0.26041372,0.52144360,-0.67500136,0.43146184,0.54340598,-0.47320993,-0.12888024,-0.41632736,0.63820834,0.15333554,0.57241512,-0.10146173,-0.53292215,0.18808221,-0.19953862
L007,0.28440957,0.41758562,-0.70270771,0.09902524,-0.27540315,0.24574217,1.00000000,0.59134601,0.20396924,-0.34984213,0.07690773,-0.37173366,-0.75844188,0.02342360,0.32644028,0.23135287,0.05519085,-0.17377623,0.12146230,0.33071117,-0.52430579,0.13085170,-0.66404346,0.16201458,-0.36059764,-0.25151662,-0.07905264,-0.42298180,0.39342329,-0.34360791
L008,-0.20483301,0.07401147,-0.52499226,-0.39035081,0.28568763,-0.35233110,0.59134601,1.00000000,0.09407970,0.04896709,-0.01735277,-0.23536189,-0.56572111,-0.36256970,0.21205719,0.25984360,-0.47502620,0.18387298,-0.14807354,-0.14851944,-0.12488900,0.17547469,-0.18415602,-0.22244658,-0.45828310,-0.69549538,-0.21225090,-0.13886123,0.27666387,0.01860043
L009,-0.18543589,-0.08818935,-0.41990120,-0.10146229,0.31686765,0.21303903,0.20396924,0.09407970,1.00000000,-0.57478458,-0.73437847,-0.59154099,-0.48429427,-0.09764609,0.36806125,0.52373332,0.32464421,-0.56795797,0.77996509,-0.05480149,-0.01186444,0.39873061,0.11183628,0.64734788,-0.29931347,0.27032815,-0.64895966,-0.19114615,-0.50604117,0.46943681
L010,-0.29244824,-0.26362656,0.54675051,-0.52380970,0.18307065,-0.68896537,-0.34984213,0.04896709,-0.57478458,1.00000000,0.42686321,0.46661422,0.57510238,0.11201467,0.04062207,-0.61204510,-0.31637686,0.82967091,-0.68448055,-0.24525665,0.29797977,0.00890813,0.20305365,-0.75226404,0.01810003,-0.41668886,0.52817949,0.65117960,-0.03304836,-0.18754056
