"","Ecu_Babahoyo","Ecu_Daule","Ecu_Samborondon","Ecu_Quevedo","Saldana","Palmira","Peru_Chiclayo"
"TC_R001_FA",1,1,1,1,1,1,1
"TC_R002_FA",1,1,1,1,1,1,1
"TC_R003_FA",1,1,1,1,1,1,1
"TC_R004_FA",1,1,1,1,1,1,1
"TC_R005_FA",1,1,1,1,1,1,1
"TC_R006_FA",1,1,1,1,1,1,1
"TC_R007_FA",1,1,1,1,1,1,1
"TC_R008_FA",1,1,1,1,1,1,1
"TC_R009_FA",1,1,1,1,1,1,1
"TC_R010_FA",1,1,1,1,1,1,1
"TC_R011_FA",1,1,1,1,1,1,1
"TC_R012_FA",1,1,1,1,1,1,1
"TC_R013_FA",1,1,1,1,1,1,1
"TC_R014_FA",1,1,1,1,1,1,1
"TC_R015_FA",1,1,1,1,1,1,1
"TC_R016_FA",0,0,0,0,1,1,0
"TC_R017_FA",0,0,0,0,1,0,1
"TC_R018_FA",0,1,1,0,0,0,0
"TC_R019_FA",0,0,0,1,0,1,0
"TC_R020_FA",0,1,0,0,1,0,0
"TC_R021_FA",0,0,1,0,0,0,1
"TC_R022_FA",0,0,0,0,0,1,1
"TC_R023_FA",1,0,0,0,1,0,0
"TC_R024_FA",0,0,0,1,0,0,1
"TC_R025_FA",1,0,0,0,0,1,0
"TC_R026_FA",0,0,1,0,1,0,0
"TC_R027_FA",0,1,0,0,1,0,0
"TC_R028_FA",0,0,1,0,1,0,0
"TC_R029_FA",1,0,0,0,0,1,0
"TC_R030_FA",0,0,0,0,1,1,0
"TC_R031_FA",0,0,0,0,0,1,1
"TC_R032_FA",1,0,0,0,1,0,0
"TC_R033_FA",0,0,0,1,0,1,0
"TC_R034_FA",1,0,0,0,0,0,1
"TC_R035_FA",0,0,0,0,1,0,1
"TC_R036_FA",1,0,0,0,1,0,0
"TC_R037_FA",0,0,0,0,1,0,1
"TC_R038_FA",1,0,0,0,1,0,0
"TC_R039_FA",0,0,0,1,0,1,0
"TC_R040_FA",0,0,0,1,0,0,1
"TC_R041_FA",0,0,1,0,0,0,1
"TC_R042_FA",0,0,0,0,1,1,0
"TC_R043_FA",0,0,0,0,0,1,1
"TC_R044_FA",0,0,0,0,1,1,0
"TC_R045_FA",0,0,0,1,0,0,1
"TC_R046_FA",1,0,0,0,1,0,0
"TC_R047_FA",0,0,0,1,0,0,1
"TC_R048_FA",0,1,0,0,0,1,0
"TC_R049_FA",0,1,0,0,1,0,0
"TC_R050_FA",0,0,0,1,1,0,0
"TC_R051_FA",0,1,0,0,0,0,1
"TC_R052_FA",0,0,0,1,0,1,0
"TC_R053_FA",0,0,0,1,0,1,0
"TC_R054_FA",0,0,1,0,1,0,0
"TC_R055_FA",0,0,0,1,1,0,0
"TC_R056_FA",0,0,1,0,0,1,0
"TC_R057_FA",0,1,0,0,0,0,1
"TC_R058_FA",0,0,0,0,0,1,0
"TC_R059_FA",0,0,0,1,0,0,1
"TC_R060_FA",0,1,0,0,1,0,0
"TC_R061_FA",0,0,0,1,1,0,0
"TC_R062_FA",0,1,0,0,0,1,0
"TC_R063_FA",0,0,0,0,0,1,1
"TC_R064_FA",0,0,0,1,1,0,0
"TC_R065_FA",1,0,0,1,0,0,0
"TC_R066_FA",0,0,0,0,0,1,1
"TC_R067_FA",0,0,0,0,0,0,1
"TC_R068_FA",0,0,0,1,0,0,1
"TC_R069_FA",0,0,0,0,1,0,1
"TC_R070_FA",0,0,1,0,0,1,0
"TC_R071_FA",0,0,0,1,0,0,1
"TC_R072_FA",0,0,0,0,1,1,0
"TC_R073_FA",0,0,0,0,0,1,1
"TC_R074_FA",1,0,0,0,0,0,1
"TC_R075_FA",0,1,0,0,0,1,0
"TC_R076_FA",0,0,0,0,0,1,1
"TC_R077_FA",0,0,0,0,1,0,1
"TC_R078_FA",0,0,0,0,0,1,1
"TC_R079_FA",0,0,0,0,1,1,0
"TC_R080_FA",0,0,0,0,1,0,1
"TC_R081_FA",0,0,0,1,1,0,0
"TC_R082_FA",0,0,0,0,0,0,1
"TC_R083_FA",0,0,0,0,0,1,1
"TC_R084_FA",0,0,0,0,0,1,1
"TC_R085_FA",0,0,0,0,0,1,1
"TC_R086_FA",0,0,0,0,0,1,1
"TC_R087_FA",0,0,0,0,0,1,1
"TC_R088_FA",0,0,1,0,1,0,0
"TC_R089_FA",0,1,0,0,0,1,0
"TC_R090_FA",0,0,0,0,0,0,1
"TC_R091_FA",1,0,0,0,1,0,0
"TC_R092_FA",0,0,0,1,1,0,0
"TC_R093_FA",0,0,0,1,1,0,0
"TC_R094_FA",0,0,0,1,1,0,0
"TC_R095_FA",0,0,1,0,1,0,0
"TC_R096_FA",1,0,0,0,1,0,0
"TC_R097_FA",0,0,0,0,0,1,1
"TC_R098_FA",0,0,0,0,1,0,1
"TC_R099_FA",0,0,0,1,0,1,0
"TC_R100_FA",0,0,0,1,0,1,0
"TC_R101_FA",0,0,0,0,0,0,1
"TC_R102_FA",0,0,0,0,0,1,1
"TC_R103_FA",0,0,0,0,1,0,1
"TC_R104_FA",0,0,0,0,0,1,1
"TC_R105_FA",0,1,0,0,0,0,0
"TC_R106_FA",1,0,1,0,0,0,0
"TC_R107_FA",0,0,1,0,0,1,0
"TC_R108_FA",0,1,0,0,0,0,1
"TC_R109_FA",0,1,0,0,0,1,0
"TC_R110_FA",0,1,0,0,0,0,1
"TC_R111_FA",0,0,0,0,1,0,1
"TC_R112_FA",1,0,0,0,0,0,0
"TC_R113_FA",0,1,0,0,0,0,1
"TC_R114_FA",1,0,0,0,1,0,0
"TC_R115_FA",0,0,0,1,0,0,0
"TC_R116_FA",0,0,0,0,1,1,0
"TC_R117_FA",0,0,0,0,0,1,1
"TC_R118_FA",1,0,0,0,0,1,0
"TC_R119_FA",1,0,0,0,1,0,0
"TC_R120_FA",0,0,0,1,0,0,1
"TC_R121_FA",0,0,0,1,1,0,0
"TC_R122_FA",0,0,0,0,1,1,0
"TC_R123_FA",0,1,0,0,1,0,0
"TC_R124_FA",1,0,0,0,1,0,0
"TC_R125_FA",0,0,0,0,0,1,1
"TC_R126_FA",0,0,0,1,0,1,0
"TC_R127_FA",0,0,1,0,0,1,0
"TC_R128_FA",0,0,1,0,0,0,1
"TC_R129_FA",0,0,0,0,1,0,1
"TC_R130_FA",1,0,0,0,1,0,0
"TC_R131_FA",0,0,0,0,1,0,1
"TC_R132_FA",0,0,0,0,0,1,1
"TC_R133_FA",0,0,0,0,0,1,1
"TC_R134_FA",0,0,0,0,0,1,1
"TC_R135_FA",0,1,0,0,0,0,1
"TC_R136_FA",0,1,0,0,0,0,1
"TC_R137_FA",0,0,1,0,0,1,0
"TC_R138_FA",0,1,0,0,1,0,0
"TC_R139_FA",0,0,0,0,1,1,0
"TC_R140_FA",0,0,0,1,1,0,0
"TC_R141_FA",1,0,0,0,0,0,1
"TC_R142_FA",0,1,0,0,1,0,0
"TC_R143_FA",1,0,0,0,1,0,0
"TC_R144_FA",0,0,0,0,1,1,0
"TC_R145_FA",0,0,0,0,0,0,1
"TC_R146_FA",0,0,1,0,0,1,0
"TC_R147_FA",0,0,1,0,1,0,0
"TC_R148_FA",0,0,0,0,1,1,0
"TC_R149_FA",0,0,0,0,1,1,0
"TC_R150_FA",0,0,0,0,1,0,1
"TC_R001_FB",0,1,0,0,1,0,0
"TC_R002_FB",0,0,0,0,0,1,1
"TC_R003_FB",0,0,0,0,1,1,0
"TC_R004_FB",0,1,1,0,0,0,0
"TC_R005_FB",0,0,1,0,0,1,0
"TC_R006_FB",0,0,0,1,1,0,0
"TC_R007_FB",0,1,0,0,0,0,1
"TC_R008_FB",0,0,1,0,0,1,0
"TC_R009_FB",0,0,0,0,1,0,1
"TC_R010_FB",0,0,0,0,0,0,1
"TC_R011_FB",0,0,0,0,1,1,0
"TC_R012_FB",0,0,1,0,0,0,1
"TC_R013_FB",0,0,0,0,1,1,0
"TC_R014_FB",0,0,0,0,1,1,0
"TC_R015_FB",0,0,0,0,1,0,1
"TC_R016_FB",0,0,0,1,1,0,0
"TC_R017_FB",0,0,0,0,1,0,1
"TC_R018_FB",0,1,0,0,1,0,0
"TC_R019_FB",1,0,0,0,1,0,0
"TC_R020_FB",1,0,0,0,0,0,1
"TC_R021_FB",0,0,0,0,0,1,1
"TC_R022_FB",0,0,0,0,1,1,0
"TC_R023_FB",0,1,0,0,0,0,1
"TC_R024_FB",0,0,0,0,0,0,1
"TC_R025_FB",0,0,0,0,1,1,0
"TC_R026_FB",0,1,1,0,0,0,0
"TC_R027_FB",0,1,0,0,0,0,1
"TC_R028_FB",0,0,1,0,0,0,1
"TC_R029_FB",0,0,1,0,0,1,0
"TC_R030_FB",0,0,0,0,1,0,1
"TC_R031_FB",0,0,1,0,1,0,0
"TC_R032_FB",0,0,0,0,1,1,0
"TC_R033_FB",0,0,0,0,0,1,1
"TC_R034_FB",0,0,0,1,0,0,1
"TC_R035_FB",0,1,0,0,0,1,0
"TC_R036_FB",0,0,0,0,1,1,0
"TC_R037_FB",0,0,0,0,1,1,0
"TC_R038_FB",0,0,0,1,1,0,0
"TC_R039_FB",0,0,0,1,1,0,0
"TC_R040_FB",0,0,0,0,0,1,1
"TC_R041_FB",0,0,0,0,0,1,1
"TC_R042_FB",0,0,1,0,1,0,0
"TC_R043_FB",0,0,0,0,0,1,1
"TC_R044_FB",1,0,0,0,1,0,0
"TC_R045_FB",0,0,0,0,1,1,0
"TC_R046_FB",0,0,0,1,0,1,0
"TC_R047_FB",0,0,0,1,0,1,0
"TC_R048_FB",0,1,0,0,0,0,1
"TC_R049_FB",0,0,1,1,0,0,0
"TC_R050_FB",0,0,0,1,0,1,0
"TC_R051_FB",0,0,0,0,1,1,0
"TC_R052_FB",0,0,0,0,1,0,1
"TC_R053_FB",0,0,0,0,1,1,0
"TC_R054_FB",0,0,0,0,1,0,1
"TC_R055_FB",0,1,0,0,1,0,0
"TC_R056_FB",0,1,0,0,0,0,1
"TC_R057_FB",0,0,0,0,0,1,1
"TC_R058_FB",0,0,0,0,0,1,1
"TC_R059_FB",1,1,0,0,0,0,0
"TC_R060_FB",0,1,0,0,0,1,0
"TC_R061_FB",0,0,0,0,1,1,0
"TC_R062_FB",1,0,0,0,1,0,0
"TC_R063_FB",0,0,0,0,0,1,1
"TC_R064_FB",0,0,0,0,1,0,1
"TC_R065_FB",0,0,0,0,0,1,0
"TC_R066_FB",0,0,0,0,0,1,1
"TC_R067_FB",0,0,1,0,0,1,0
"TC_R068_FB",0,0,1,0,0,0,1
"TC_R069_FB",1,0,0,0,1,0,0
"TC_R070_FB",0,0,0,0,0,1,1
"TC_R071_FB",0,0,0,1,0,1,0
"TC_R072_FB",0,0,1,0,0,1,0
"TC_R073_FB",0,1,0,0,1,0,0
"TC_R074_FB",0,0,0,0,1,1,0
"TC_R075_FB",0,0,1,0,0,1,0
"TC_R076_FB",0,0,0,1,0,0,1
"TC_R077_FB",0,0,0,0,1,0,1
"TC_R078_FB",1,0,0,0,0,0,1
"TC_R079_FB",0,0,1,0,0,0,1
"TC_R080_FB",0,1,0,0,0,1,0
"TC_R081_FB",0,0,1,0,0,0,1
"TC_R082_FB",0,0,1,0,1,0,0
"TC_R083_FB",0,1,1,0,0,0,0
"TC_R084_FB",0,0,1,0,1,0,0
"TC_R085_FB",1,0,0,0,0,0,1
"TC_R086_FB",1,0,0,0,1,0,0
"TC_R087_FB",1,0,0,0,1,0,0
"TC_R088_FB",0,0,1,0,0,1,0
"TC_R089_FB",0,0,0,0,1,1,0
"TC_R090_FB",0,1,0,0,0,1,0
"TC_R091_FB",0,1,0,0,1,0,0
"TC_R092_FB",1,0,0,0,0,1,0
"TC_R093_FB",0,0,0,0,1,1,0
"TC_R094_FB",0,0,0,1,1,0,0
"TC_R095_FB",0,0,0,0,0,1,1
"TC_R096_FB",0,1,0,0,0,0,1
"TC_R097_FB",0,0,0,0,0,1,1
"TC_R098_FB",1,0,0,0,0,0,1
"TC_R099_FB",0,0,0,0,1,1,0
"TC_R100_FB",0,0,0,0,0,1,1
"TC_R101_FB",1,0,0,0,0,0,1
"TC_R102_FB",0,0,0,0,1,1,0
"TC_R103_FB",0,0,1,0,0,1,0
"TC_R104_FB",0,0,1,0,0,0,0
"TC_R105_FB",1,0,0,0,0,1,0
"TC_R106_FB",0,1,0,0,0,0,1
"TC_R107_FB",1,0,0,0,1,0,0
"TC_R108_FB",1,0,0,0,1,0,0
"TC_R109_FB",0,0,0,0,1,1,0
"TC_R110_FB",1,0,0,0,0,1,0
"TC_R111_FB",0,0,0,0,1,1,0
"TC_R112_FB",0,0,0,0,0,1,0
"TC_R113_FB",0,0,0,0,0,0,1
"TC_R114_FB",1,0,0,0,1,0,0
"TC_R115_FB",0,1,0,0,0,1,0
"TC_R116_FB",0,0,0,0,1,1,0
"TC_R117_FB",1,0,0,0,0,1,0
"TC_R118_FB",0,0,0,0,1,1,0
"TC_R119_FB",0,0,1,0,1,0,0
"TC_R120_FB",0,0,1,0,0,0,1
"TC_R121_FB",0,0,1,0,1,0,0
"TC_R122_FB",0,1,0,0,0,0,1
"TC_R123_FB",0,0,0,0,1,0,1
"TC_R124_FB",0,1,0,0,1,0,0
"TC_R125_FB",0,0,0,0,1,0,1
"TC_R126_FB",1,0,0,0,1,0,0
"TC_R127_FB",0,0,0,0,1,1,0
"TC_R128_FB",0,0,0,1,1,0,0
"TC_R129_FB",1,0,0,0,1,0,0
"TC_R130_FB",0,0,0,0,0,0,1
"TC_R131_FB",0,0,0,1,1,0,0
"TC_R132_FB",0,0,0,0,1,1,0
"TC_R133_FB",0,0,0,1,1,0,0
"TC_R134_FB",0,0,0,0,0,1,1
"TC_R135_FB",0,0,0,0,1,0,1
"TC_R136_FB",0,0,0,1,0,0,1
"TC_R137_FB",0,0,0,0,1,1,0
"TC_R138_FB",0,0,1,0,0,0,1
"TC_R139_FB",0,0,0,0,1,1,0
"TC_R140_FB",1,0,0,0,1,0,0
"TC_R141_FB",0,0,0,1,0,1,0
"TC_R142_FB",0,0,0,0,1,0,0
"TC_R143_FB",0,0,0,0,0,1,1
"TC_R144_FB",0,0,1,0,0,1,0
"TC_R145_FB",1,0,0,0,0,1,0
"TC_R146_FB",0,0,0,0,0,1,1
"TC_R147_FB",0,0,1,0,0,1,0
"TC_R148_FB",0,0,0,0,0,1,1
"TC_R149_FB",0,1,0,0,0,1,0
"TC_R150_FB",1,0,0,0,0,1,0
