"Treatment","SeedAvailable"
"TC_R001_FA",263
"TC_R002_FA",115
"TC_R003_FA",123
"TC_R004_FA",71
"TC_R005_FA",251
"TC_R006_FA",113
"TC_R007_FA",70
"TC_R008_FA",139
"TC_R009_FA",193
"TC_R010_FA",89
"TC_R011_FA",96
"TC_R012_FA",208
"TC_R013_FA",198
"TC_R014_FA",74
"TC_R015_FA",93
"TC_R016_FA",174
"TC_R017_FA",93
"TC_R018_FA",186
"TC_R019_FA",65
"TC_R020_FA",245
"TC_R021_FA",104
"TC_R022_FA",142
"TC_R023_FA",150
"TC_R024_FA",57
"TC_R025_FA",263
"TC_R026_FA",108
"TC_R027_FA",279
"TC_R028_FA",211
"TC_R029_FA",174
"TC_R030_FA",198
"TC_R031_FA",281
"TC_R032_FA",266
"TC_R033_FA",223
"TC_R034_FA",68
"TC_R035_FA",58
"TC_R036_FA",182
"TC_R037_FA",217
"TC_R038_FA",31
"TC_R039_FA",209
"TC_R040_FA",163
"TC_R041_FA",64
"TC_R042_FA",149
"TC_R043_FA",207
"TC_R044_FA",199
"TC_R045_FA",257
"TC_R046_FA",98
"TC_R047_FA",34
"TC_R048_FA",37
"TC_R049_FA",60
"TC_R050_FA",84
"TC_R051_FA",213
"TC_R052_FA",138
"TC_R053_FA",242
"TC_R054_FA",76
"TC_R055_FA",101
"TC_R056_FA",273
"TC_R057_FA",57
"TC_R058_FA",74
"TC_R059_FA",134
"TC_R060_FA",178
"TC_R061_FA",222
"TC_R062_FA",285
"TC_R063_FA",240
"TC_R064_FA",242
"TC_R065_FA",68
"TC_R066_FA",82
"TC_R067_FA",85
"TC_R068_FA",149
"TC_R069_FA",195
"TC_R070_FA",239
"TC_R071_FA",237
"TC_R072_FA",105
"TC_R073_FA",122
"TC_R074_FA",216
"TC_R075_FA",121
"TC_R076_FA",106
"TC_R077_FA",261
"TC_R078_FA",199
"TC_R079_FA",101
"TC_R080_FA",193
"TC_R081_FA",108
"TC_R082_FA",83
"TC_R083_FA",154
"TC_R084_FA",191
"TC_R085_FA",144
"TC_R086_FA",205
"TC_R087_FA",69
"TC_R088_FA",137
"TC_R089_FA",281
"TC_R090_FA",250
"TC_R091_FA",207
"TC_R092_FA",143
"TC_R093_FA",35
"TC_R094_FA",62
"TC_R095_FA",168
"TC_R096_FA",108
"TC_R097_FA",123
"TC_R098_FA",290
"TC_R099_FA",195
"TC_R100_FA",171
"TC_R101_FA",282
"TC_R102_FA",114
"TC_R103_FA",167
"TC_R104_FA",169
"TC_R105_FA",57
"TC_R106_FA",234
"TC_R107_FA",212
"TC_R108_FA",131
"TC_R109_FA",297
"TC_R110_FA",168
"TC_R111_FA",260
"TC_R112_FA",164
"TC_R113_FA",190
"TC_R114_FA",111
"TC_R115_FA",171
"TC_R116_FA",87
"TC_R117_FA",55
"TC_R118_FA",266
"TC_R119_FA",139
"TC_R120_FA",171
"TC_R121_FA",296
"TC_R122_FA",293
"TC_R123_FA",237
"TC_R124_FA",85
"TC_R125_FA",286
"TC_R126_FA",119
"TC_R127_FA",171
"TC_R128_FA",254
"TC_R129_FA",286
"TC_R130_FA",206
"TC_R131_FA",48
"TC_R132_FA",66
"TC_R133_FA",142
"TC_R134_FA",245
"TC_R135_FA",193
"TC_R136_FA",175
"TC_R137_FA",215
"TC_R138_FA",160
"TC_R139_FA",63
"TC_R140_FA",136
"TC_R141_FA",188
"TC_R142_FA",94
"TC_R143_FA",91
"TC_R144_FA",40
"TC_R145_FA",202
"TC_R146_FA",149
"TC_R147_FA",159
"TC_R148_FA",46
"TC_R149_FA",197
"TC_R150_FA",173
"TC_R001_FB",184
"TC_R002_FB",232
"TC_R003_FB",105
"TC_R004_FB",120
"TC_R005_FB",294
"TC_R006_FB",158
"TC_R007_FB",90
"TC_R008_FB",234
"TC_R009_FB",200
"TC_R010_FB",69
"TC_R011_FB",33
"TC_R012_FB",121
"TC_R013_FB",177
"TC_R014_FB",253
"TC_R015_FB",66
"TC_R016_FB",222
"TC_R017_FB",230
"TC_R018_FB",235
"TC_R019_FB",198
"TC_R020_FB",100
"TC_R021_FB",283
"TC_R022_FB",252
"TC_R023_FB",62
"TC_R024_FB",76
"TC_R025_FB",208
"TC_R026_FB",172
"TC_R027_FB",243
"TC_R028_FB",169
"TC_R029_FB",297
"TC_R030_FB",80
"TC_R031_FB",241
"TC_R032_FB",209
"TC_R033_FB",261
"TC_R034_FB",300
"TC_R035_FB",284
"TC_R036_FB",223
"TC_R037_FB",231
"TC_R038_FB",185
"TC_R039_FB",99
"TC_R040_FB",176
"TC_R041_FB",265
"TC_R042_FB",135
"TC_R043_FB",263
"TC_R044_FB",287
"TC_R045_FB",108
"TC_R046_FB",127
"TC_R047_FB",271
"TC_R048_FB",68
"TC_R049_FB",164
"TC_R050_FB",122
"TC_R051_FB",86
"TC_R052_FB",299
"TC_R053_FB",197
"TC_R054_FB",126
"TC_R055_FB",93
"TC_R056_FB",273
"TC_R057_FB",288
"TC_R058_FB",174
"TC_R059_FB",285
"TC_R060_FB",39
"TC_R061_FB",47
"TC_R062_FB",284
"TC_R063_FB",86
"TC_R064_FB",202
"TC_R065_FB",172
"TC_R066_FB",94
"TC_R067_FB",210
"TC_R068_FB",166
"TC_R069_FB",65
"TC_R070_FB",84
"TC_R071_FB",238
"TC_R072_FB",61
"TC_R073_FB",224
"TC_R074_FB",133
"TC_R075_FB",86
"TC_R076_FB",123
"TC_R077_FB",170
"TC_R078_FB",97
"TC_R079_FB",265
"TC_R080_FB",97
"TC_R081_FB",216
"TC_R082_FB",217
"TC_R083_FB",48
"TC_R084_FB",53
"TC_R085_FB",88
"TC_R086_FB",153
"TC_R087_FB",59
"TC_R088_FB",222
"TC_R089_FB",33
"TC_R090_FB",272
"TC_R091_FB",197
"TC_R092_FB",111
"TC_R093_FB",119
"TC_R094_FB",273
"TC_R095_FB",186
"TC_R096_FB",72
"TC_R097_FB",276
"TC_R098_FB",54
"TC_R099_FB",69
"TC_R100_FB",196
"TC_R101_FB",284
"TC_R102_FB",195
"TC_R103_FB",159
"TC_R104_FB",220
"TC_R105_FB",110
"TC_R106_FB",88
"TC_R107_FB",75
"TC_R108_FB",202
"TC_R109_FB",97
"TC_R110_FB",55
"TC_R111_FB",150
"TC_R112_FB",183
"TC_R113_FB",227
"TC_R114_FB",209
"TC_R115_FB",125
"TC_R116_FB",282
"TC_R117_FB",148
"TC_R118_FB",136
"TC_R119_FB",250
"TC_R120_FB",170
"TC_R121_FB",97
"TC_R122_FB",87
"TC_R123_FB",299
"TC_R124_FB",142
"TC_R125_FB",164
"TC_R126_FB",95
"TC_R127_FB",92
"TC_R128_FB",35
"TC_R129_FB",48
"TC_R130_FB",231
"TC_R131_FB",66
"TC_R132_FB",179
"TC_R133_FB",106
"TC_R134_FB",222
"TC_R135_FB",79
"TC_R136_FB",194
"TC_R137_FB",166
"TC_R138_FB",199
"TC_R139_FB",255
"TC_R140_FB",192
"TC_R141_FB",298
"TC_R142_FB",238
"TC_R143_FB",134
"TC_R144_FB",262
"TC_R145_FB",56
"TC_R146_FB",229
"TC_R147_FB",193
"TC_R148_FB",122
"TC_R149_FB",171
"TC_R150_FB",180
