"Treatment","Family"
"TC_R001_FA","Fam09"
"TC_R002_FA","Fam01"
"TC_R003_FA","Fam06"
"TC_R004_FA","Fam11"
"TC_R005_FA","Fam12"
"TC_R006_FA","Fam04"
"TC_R007_FA","Fam05"
"TC_R008_FA","Fam12"
"TC_R009_FA","Fam10"
"TC_R010_FA","Fam02"
"TC_R011_FA","Fam08"
"TC_R012_FA","Fam03"
"TC_R013_FA","Fam01"
"TC_R014_FA","Fam12"
"TC_R015_FA","Fam10"
"TC_R016_FA","Fam06"
"TC_R017_FA","Fam02"
"TC_R018_FA","Fam02"
"TC_R019_FA","Fam05"
"TC_R020_FA","Fam12"
"TC_R021_FA","Fam08"
"TC_R022_FA","Fam05"
"TC_R023_FA","Fam03"
"TC_R024_FA","Fam12"
"TC_R025_FA","Fam03"
"TC_R026_FA","Fam03"
"TC_R027_FA","Fam10"
"TC_R028_FA","Fam04"
"TC_R029_FA","Fam08"
"TC_R030_FA","Fam02"
"TC_R031_FA","Fam02"
"TC_R032_FA","Fam12"
"TC_R033_FA","Fam09"
"TC_R034_FA","Fam12"
"TC_R035_FA","Fam05"
"TC_R036_FA","Fam09"
"TC_R037_FA","Fam02"
"TC_R038_FA","Fam09"
"TC_R039_FA","Fam07"
"TC_R040_FA","Fam11"
"TC_R041_FA","Fam02"
"TC_R042_FA","Fam05"
"TC_R043_FA","Fam05"
"TC_R044_FA","Fam11"
"TC_R045_FA","Fam04"
"TC_R046_FA","Fam01"
"TC_R047_FA","Fam08"
"TC_R048_FA","Fam09"
"TC_R049_FA","Fam03"
"TC_R050_FA","Fam09"
"TC_R051_FA","Fam07"
"TC_R052_FA","Fam04"
"TC_R053_FA","Fam09"
"TC_R054_FA","Fam06"
"TC_R055_FA","Fam04"
"TC_R056_FA","Fam09"
"TC_R057_FA","Fam01"
"TC_R058_FA","Fam08"
"TC_R059_FA","Fam12"
"TC_R060_FA","Fam06"
"TC_R061_FA","Fam04"
"TC_R062_FA","Fam08"
"TC_R063_FA","Fam11"
"TC_R064_FA","Fam06"
"TC_R065_FA","Fam08"
"TC_R066_FA","Fam06"
"TC_R067_FA","Fam01"
"TC_R068_FA","Fam12"
"TC_R069_FA","Fam03"
"TC_R070_FA","Fam07"
"TC_R071_FA","Fam01"
"TC_R072_FA","Fam01"
"TC_R073_FA","Fam04"
"TC_R074_FA","Fam06"
"TC_R075_FA","Fam05"
"TC_R076_FA","Fam01"
"TC_R077_FA","Fam03"
"TC_R078_FA","Fam04"
"TC_R079_FA","Fam01"
"TC_R080_FA","Fam08"
"TC_R081_FA","Fam05"
"TC_R082_FA","Fam05"
"TC_R083_FA","Fam04"
"TC_R084_FA","Fam05"
"TC_R085_FA","Fam01"
"TC_R086_FA","Fam10"
"TC_R087_FA","Fam12"
"TC_R088_FA","Fam03"
"TC_R089_FA","Fam05"
"TC_R090_FA","Fam03"
"TC_R091_FA","Fam01"
"TC_R092_FA","Fam11"
"TC_R093_FA","Fam06"
"TC_R094_FA","Fam02"
"TC_R095_FA","Fam04"
"TC_R096_FA","Fam02"
"TC_R097_FA","Fam01"
"TC_R098_FA","Fam04"
"TC_R099_FA","Fam10"
"TC_R100_FA","Fam12"
"TC_R101_FA","Fam05"
"TC_R102_FA","Fam02"
"TC_R103_FA","Fam04"
"TC_R104_FA","Fam05"
"TC_R105_FA","Fam11"
"TC_R106_FA","Fam09"
"TC_R107_FA","Fam01"
"TC_R108_FA","Fam01"
"TC_R109_FA","Fam09"
"TC_R110_FA","Fam08"
"TC_R111_FA","Fam09"
"TC_R112_FA","Fam12"
"TC_R113_FA","Fam03"
"TC_R114_FA","Fam05"
"TC_R115_FA","Fam02"
"TC_R116_FA","Fam12"
"TC_R117_FA","Fam12"
"TC_R118_FA","Fam08"
"TC_R119_FA","Fam09"
"TC_R120_FA","Fam03"
"TC_R121_FA","Fam10"
"TC_R122_FA","Fam02"
"TC_R123_FA","Fam01"
"TC_R124_FA","Fam02"
"TC_R125_FA","Fam11"
"TC_R126_FA","Fam10"
"TC_R127_FA","Fam10"
"TC_R128_FA","Fam11"
"TC_R129_FA","Fam08"
"TC_R130_FA","Fam05"
"TC_R131_FA","Fam10"
"TC_R132_FA","Fam06"
"TC_R133_FA","Fam03"
"TC_R134_FA","Fam12"
"TC_R135_FA","Fam12"
"TC_R136_FA","Fam12"
"TC_R137_FA","Fam05"
"TC_R138_FA","Fam02"
"TC_R139_FA","Fam05"
"TC_R140_FA","Fam04"
"TC_R141_FA","Fam05"
"TC_R142_FA","Fam02"
"TC_R143_FA","Fam08"
"TC_R144_FA","Fam06"
"TC_R145_FA","Fam07"
"TC_R146_FA","Fam08"
"TC_R147_FA","Fam01"
"TC_R148_FA","Fam12"
"TC_R149_FA","Fam04"
"TC_R150_FA","Fam08"
"TC_R001_FB","Fam09"
"TC_R002_FB","Fam01"
"TC_R003_FB","Fam06"
"TC_R004_FB","Fam11"
"TC_R005_FB","Fam12"
"TC_R006_FB","Fam04"
"TC_R007_FB","Fam05"
"TC_R008_FB","Fam12"
"TC_R009_FB","Fam10"
"TC_R010_FB","Fam02"
"TC_R011_FB","Fam08"
"TC_R012_FB","Fam03"
"TC_R013_FB","Fam01"
"TC_R014_FB","Fam12"
"TC_R015_FB","Fam10"
"TC_R016_FB","Fam06"
"TC_R017_FB","Fam02"
"TC_R018_FB","Fam02"
"TC_R019_FB","Fam05"
"TC_R020_FB","Fam12"
"TC_R021_FB","Fam08"
"TC_R022_FB","Fam05"
"TC_R023_FB","Fam03"
"TC_R024_FB","Fam12"
"TC_R025_FB","Fam03"
"TC_R026_FB","Fam03"
"TC_R027_FB","Fam10"
"TC_R028_FB","Fam04"
"TC_R029_FB","Fam08"
"TC_R030_FB","Fam02"
"TC_R031_FB","Fam02"
"TC_R032_FB","Fam12"
"TC_R033_FB","Fam09"
"TC_R034_FB","Fam12"
"TC_R035_FB","Fam05"
"TC_R036_FB","Fam09"
"TC_R037_FB","Fam02"
"TC_R038_FB","Fam09"
"TC_R039_FB","Fam07"
"TC_R040_FB","Fam11"
"TC_R041_FB","Fam02"
"TC_R042_FB","Fam05"
"TC_R043_FB","Fam05"
"TC_R044_FB","Fam11"
"TC_R045_FB","Fam04"
"TC_R046_FB","Fam01"
"TC_R047_FB","Fam08"
"TC_R048_FB","Fam09"
"TC_R049_FB","Fam03"
"TC_R050_FB","Fam09"
"TC_R051_FB","Fam07"
"TC_R052_FB","Fam04"
"TC_R053_FB","Fam09"
"TC_R054_FB","Fam06"
"TC_R055_FB","Fam04"
"TC_R056_FB","Fam09"
"TC_R057_FB","Fam01"
"TC_R058_FB","Fam08"
"TC_R059_FB","Fam12"
"TC_R060_FB","Fam06"
"TC_R061_FB","Fam04"
"TC_R062_FB","Fam08"
"TC_R063_FB","Fam11"
"TC_R064_FB","Fam06"
"TC_R065_FB","Fam08"
"TC_R066_FB","Fam06"
"TC_R067_FB","Fam01"
"TC_R068_FB","Fam12"
"TC_R069_FB","Fam03"
"TC_R070_FB","Fam07"
"TC_R071_FB","Fam01"
"TC_R072_FB","Fam01"
"TC_R073_FB","Fam04"
"TC_R074_FB","Fam06"
"TC_R075_FB","Fam05"
"TC_R076_FB","Fam01"
"TC_R077_FB","Fam03"
"TC_R078_FB","Fam04"
"TC_R079_FB","Fam01"
"TC_R080_FB","Fam08"
"TC_R081_FB","Fam05"
"TC_R082_FB","Fam05"
"TC_R083_FB","Fam04"
"TC_R084_FB","Fam05"
"TC_R085_FB","Fam01"
"TC_R086_FB","Fam10"
"TC_R087_FB","Fam12"
"TC_R088_FB","Fam03"
"TC_R089_FB","Fam05"
"TC_R090_FB","Fam03"
"TC_R091_FB","Fam01"
"TC_R092_FB","Fam11"
"TC_R093_FB","Fam06"
"TC_R094_FB","Fam02"
"TC_R095_FB","Fam04"
"TC_R096_FB","Fam02"
"TC_R097_FB","Fam01"
"TC_R098_FB","Fam04"
"TC_R099_FB","Fam10"
"TC_R100_FB","Fam12"
"TC_R101_FB","Fam05"
"TC_R102_FB","Fam02"
"TC_R103_FB","Fam04"
"TC_R104_FB","Fam05"
"TC_R105_FB","Fam11"
"TC_R106_FB","Fam09"
"TC_R107_FB","Fam01"
"TC_R108_FB","Fam01"
"TC_R109_FB","Fam09"
"TC_R110_FB","Fam08"
"TC_R111_FB","Fam09"
"TC_R112_FB","Fam12"
"TC_R113_FB","Fam03"
"TC_R114_FB","Fam05"
"TC_R115_FB","Fam02"
"TC_R116_FB","Fam12"
"TC_R117_FB","Fam12"
"TC_R118_FB","Fam08"
"TC_R119_FB","Fam09"
"TC_R120_FB","Fam03"
"TC_R121_FB","Fam10"
"TC_R122_FB","Fam02"
"TC_R123_FB","Fam01"
"TC_R124_FB","Fam02"
"TC_R125_FB","Fam11"
"TC_R126_FB","Fam10"
"TC_R127_FB","Fam10"
